seed,qubit,online_amp,full_amp,amp_err,final_utility
0,0,0.066304,0.065373,0.000932,3.197
0,1,0.125966,0.126107,0.000141,2.062
0,2,0.137168,0.137473,0.000305,3.098
0,3,0.075782,0.074881,0.000901,1.204
0,4,0.297553,0.291646,0.005907,1.477
1,0,0.066473,0.065373,0.001101,3.051
1,1,0.124788,0.126107,0.001319,1.456
1,2,0.137473,0.137473,0.0,3.283
1,3,0.075782,0.074881,0.000901,1.204
1,4,0.297553,0.291646,0.005907,1.477
2,0,0.065961,0.065373,0.000589,3.476
2,1,0.125966,0.126107,0.000141,2.062
2,2,0.137779,0.137473,0.000305,3.102
2,3,0.075782,0.074881,0.000901,1.204
2,4,0.297553,0.291646,0.005907,1.477
3,0,0.066637,0.065373,0.001264,2.91
3,1,0.125966,0.126107,0.000141,2.062
3,2,0.137473,0.137473,0.0,3.283
3,3,0.075782,0.074881,0.000901,1.204
3,4,0.297553,0.291646,0.005907,1.477
4,0,0.066722,0.065373,0.00135,2.836
4,1,0.126201,0.126107,9.4e-05,2.076
4,2,0.137168,0.137473,0.000305,3.098
4,3,0.075782,0.074881,0.000901,1.204
4,4,0.297553,0.291646,0.005907,1.477
5,0,0.066206,0.065373,0.000834,3.282
5,1,0.072989,0.126107,0.053117,1.969
5,2,0.137779,0.137473,0.000305,3.102
5,3,0.075782,0.074881,0.000901,1.204
5,4,0.297553,0.291646,0.005907,1.477
6,0,0.066767,0.065373,0.001395,2.797
6,1,0.126201,0.126107,9.4e-05,2.076
6,2,0.138642,0.137473,0.001168,2.59
6,3,0.075963,0.074881,0.001082,1.134
6,4,0.297553,0.291646,0.005907,1.477
7,0,0.064603,0.065373,0.000769,3.346
7,1,0.12573,0.126107,0.000377,1.946
7,2,0.13682,0.137473,0.000654,2.886
7,3,0.065264,0.074881,0.009617,0.949
7,4,0.297553,0.291646,0.005907,1.477
8,0,0.06711,0.065373,0.001737,2.501
8,1,0.072943,0.126107,0.053164,1.962
8,2,0.137226,0.137473,0.000247,3.133
8,3,0.075782,0.074881,0.000901,1.204
8,4,0.297553,0.291646,0.005907,1.477
9,0,0.066206,0.065373,0.000834,3.282
9,1,0.125024,0.126107,0.001083,1.58
9,2,0.137473,0.137473,0.0,3.283
9,3,0.075782,0.074881,0.000901,1.204
9,4,0.297553,0.291646,0.005907,1.477
10,0,0.066697,0.065373,0.001324,2.858
10,1,0.072948,0.126107,0.053159,1.963
10,2,0.138695,0.137473,0.001222,2.558
10,3,0.075039,0.074881,0.000157,1.492
10,4,0.297553,0.291646,0.005907,1.477
11,0,0.066009,0.065373,0.000636,3.439
11,1,0.073497,0.126107,0.05261,1.946
11,2,0.137779,0.137473,0.000305,3.102
11,3,0.075782,0.074881,0.000901,1.204
11,4,0.297553,0.291646,0.005907,1.477
